Year,NAME,variable,Male,variable2,Female,variable3,Total,BlackGeneral
2013,"Gloucester County, Virginia",C15002B_006,241,C15002B_011,196,C15002B_001,2410,18.13278008298755
2013,"Isle of Wight County, Virginia",C15002B_006,348,C15002B_011,423,C15002B_001,5884,13.103331067301156
2013,"James City County, Virginia",C15002B_006,554,C15002B_011,634,C15002B_001,5940,20
2013,"Mathews County, Virginia",C15002B_006,23,C15002B_011,33,C15002B_001,719,7.7885952712100135
2013,"Southampton County, Virginia",C15002B_006,177,C15002B_011,236,C15002B_001,4887,8.450992428892981
2013,"York County, Virginia",C15002B_006,634,C15002B_011,918,C15002B_001,5578,27.823592685550373
2013,"Chesapeake city, Virginia",C15002B_006,3753,C15002B_011,6465,C15002B_001,42307,24.15203157869856
2013,"Franklin city, Virginia",C15002B_006,73,C15002B_011,128,C15002B_001,2890,6.955017301038062
2013,"Hampton city, Virginia",C15002B_006,3259,C15002B_011,5133,C15002B_001,42075,19.945335710041594
2013,"Newport News city, Virginia",C15002B_006,2831,C15002B_011,4599,C15002B_001,43154,17.21740742457246
2013,"Norfolk city, Virginia",C15002B_006,2774,C15002B_011,5100,C15002B_001,59179,13.305395495023573
2013,"Poquoson city, Virginia",C15002B_006,0,C15002B_011,0,C15002B_001,31,0
2013,"Portsmouth city, Virginia",C15002B_006,1689,C15002B_011,3019,C15002B_001,31609,14.894492075041917
2013,"Suffolk city, Virginia",C15002B_006,1500,C15002B_011,2703,C15002B_001,22398,18.765068309670507
2013,"Virginia Beach city, Virginia",C15002B_006,4357,C15002B_011,7784,C15002B_001,51273,23.679129366333157
2013,"Williamsburg city, Virginia",C15002B_006,79,C15002B_011,145,C15002B_001,1207,18.55840927920464
