Year,NAME,variable,Male,variable2,Female,variable3,Total,BlackGeneral
2011,"Gloucester County, Virginia",C15002B_006,157,C15002B_011,176,C15002B_001,2312,14.40311418685121
2011,"Isle of Wight County, Virginia",C15002B_006,342,C15002B_011,452,C15002B_001,5903,13.450787735049975
2011,"James City County, Virginia",C15002B_006,299,C15002B_011,458,C15002B_001,5548,13.644556596971883
2011,"Mathews County, Virginia",C15002B_006,36,C15002B_011,0,C15002B_001,732,4.918032786885246
2011,"Southampton County, Virginia",C15002B_006,134,C15002B_011,245,C15002B_001,4906,7.725234406848756
2011,"York County, Virginia",C15002B_006,538,C15002B_011,1048,C15002B_001,5679,27.927452016200032
2011,"Chesapeake city, Virginia",C15002B_006,3364,C15002B_011,5975,C15002B_001,40557,23.026851098454028
2011,"Franklin city, Virginia",C15002B_006,63,C15002B_011,114,C15002B_001,2872,6.162952646239554
2011,"Hampton city, Virginia",C15002B_006,3393,C15002B_011,5011,C15002B_001,41266,20.365434013473564
2011,"Newport News city, Virginia",C15002B_006,3022,C15002B_011,4224,C15002B_001,43014,16.845678151299577
2011,"Norfolk city, Virginia",C15002B_006,2670,C15002B_011,4717,C15002B_001,58102,12.713848060307734
2011,"Poquoson city, Virginia",C15002B_006,0,C15002B_011,8,C15002B_001,12,66.66666666666666
2011,"Portsmouth city, Virginia",C15002B_006,1516,C15002B_011,2775,C15002B_001,30965,13.857581139996771
2011,"Suffolk city, Virginia",C15002B_006,1460,C15002B_011,2523,C15002B_001,21765,18.300022972662532
2011,"Virginia Beach city, Virginia",C15002B_006,3543,C15002B_011,6953,C15002B_001,50036,20.976896634423213
2011,"Williamsburg city, Virginia",C15002B_006,28,C15002B_011,83,C15002B_001,885,12.54237288135593
